-- Logs begin at Fri 2019-11-08 11:29:00 UTC, end at Sun 2019-11-10 21:34:58 UTC. --
Nov 10 21:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:46.540685 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000277f1b9.snap successfully
Nov 10 21:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:22:42.231770 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (306.426793ms) to execute
Nov 10 21:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:22:42.231884 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (260.129143ms) to execute
Nov 10 21:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:22:42.232065 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (243.107647ms) to execute
Nov 10 21:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:22:42.232127 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (369.912678ms) to execute
Nov 10 21:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:22:42.232347 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (127.344423ms) to execute
Nov 10 21:25:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:25:19.755131 I | mvcc: store.index: compact 37597859
Nov 10 21:25:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:25:19.762915 I | mvcc: finished scheduled compaction at 37597859 (took 6.399649ms)
Nov 10 21:29:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:29:55.343467 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (178.180795ms) to execute
Nov 10 21:30:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:30:19.767461 I | mvcc: store.index: compact 37598633
Nov 10 21:30:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:30:19.776616 I | mvcc: finished scheduled compaction at 37598633 (took 7.554985ms)
Nov 10 21:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:32:15.924912 W | etcdserver: request "header:<ID:14919139277666010368 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37599503 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (472.627633ms) to execute
