-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Mon 2019-12-16 23:39:12 UTC. --
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.106601 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (332.382997ms) to execute
Dec 16 23:19:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:21.146373 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (408.691235ms) to execute
Dec 16 23:19:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:21.146671 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (198.821743ms) to execute
Dec 16 23:19:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:22.084643 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd375bea193c\" " with result "range_response_count:1 size:592" took too long (351.214645ms) to execute
Dec 16 23:19:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:22.085074 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (728.781309ms) to execute
Dec 16 23:19:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:22.085191 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (824.405805ms) to execute
Dec 16 23:19:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:27.542325 W | wal: sync duration of 1.434945096s, expected less than 1s
Dec 16 23:19:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:27.545249 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.399593058s) to execute
Dec 16 23:19:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:27.545375 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.39875845s) to execute
Dec 16 23:19:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:27.545653 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd3634fcb7f7\" " with result "range_response_count:1 size:591" took too long (759.182505ms) to execute
Dec 16 23:19:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:27.545801 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.399151336s) to execute
Dec 16 23:19:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:27.546043 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (155.077781ms) to execute
Dec 16 23:19:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:29.844040 W | wal: sync duration of 1.054610493s, expected less than 1s
Dec 16 23:19:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:29.847595 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (294.276ms) to execute
Dec 16 23:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:33.231276 W | wal: sync duration of 3.38687804s, expected less than 1s
Dec 16 23:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:33.234251 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (3.499532331s) to execute
Dec 16 23:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:33.234499 W | etcdserver: failed to revoke 4f0b6e20ca2ff0e2 ("lease not found")
Dec 16 23:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:33.234529 W | etcdserver: failed to revoke 4f0b6e20ca2ff0e2 ("lease not found")
Dec 16 23:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:33.234549 W | etcdserver: failed to revoke 4f0b6e20ca2ff0e2 ("lease not found")
Dec 16 23:19:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:34.046700 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (2.508946722s) to execute
Dec 16 23:19:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:34.046756 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (3.928810418s) to execute
Dec 16 23:19:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:34.046800 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd375bea193c\" " with result "range_response_count:1 size:592" took too long (2.313356031s) to execute
Dec 16 23:19:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:34.047002 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (780.548193ms) to execute
Dec 16 23:19:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:34.047043 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (4.087988124s) to execute
Dec 16 23:19:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:34.047173 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (3.070277733s) to execute
Dec 16 23:19:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:34.047305 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (3.829783613s) to execute
Dec 16 23:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:42.837638 W | wal: sync duration of 1.100750059s, expected less than 1s
Dec 16 23:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:42.841413 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (756.996876ms) to execute
Dec 16 23:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:42.977323 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (116.776595ms) to execute
Dec 16 23:19:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:43.977046 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (705.734431ms) to execute
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.549549 W | wal: sync duration of 1.575429094s, expected less than 1s
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.552403 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (1.750913122s) to execute
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.552958 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.277554264s) to execute
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.553067 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (768.675566ms) to execute
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.553170 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.155667016s) to execute
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.553312 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (223.46641ms) to execute
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.555027 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (648.515985ms) to execute
Dec 16 23:19:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:45.555577 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (703.17333ms) to execute
Dec 16 23:19:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:48.258730 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (670.77879ms) to execute
Dec 16 23:19:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:48.259099 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (673.359369ms) to execute
Dec 16 23:19:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:48.259332 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (692.505885ms) to execute
Dec 16 23:19:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:48.259494 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (652.547724ms) to execute
Dec 16 23:19:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:48.259682 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (645.170758ms) to execute
Dec 16 23:19:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:49.188446 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (120.94558ms) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.857062 W | wal: sync duration of 2.935773416s, expected less than 1s
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.860332 W | etcdserver: failed to revoke 4f0b6e20ca2ff184 ("lease not found")
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.860403 W | etcdserver: failed to revoke 4f0b6e20ca2ff184 ("lease not found")
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.860450 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (2.783969289s) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958280 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.678689011s) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958347 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd38e008d8f1\" " with result "range_response_count:1 size:592" took too long (2.323581506s) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958398 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.377745526s) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958555 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (1.816312602s) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958628 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (937.371007ms) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958727 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (605.285304ms) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958775 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (355.890096ms) to execute
Dec 16 23:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:53.958790 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.985263118s) to execute
Dec 16 23:19:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:54.073500 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (100.941969ms) to execute
Dec 16 23:19:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:54.197761 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (224.633995ms) to execute
Dec 16 23:19:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:54.197814 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kubernetes-dashboard\" " with result "range_response_count:1 size:523" took too long (223.830319ms) to execute
Dec 16 23:19:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:54.198079 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/coredns\" " with result "range_response_count:1 size:575" took too long (225.069492ms) to execute
Dec 16 23:19:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:59.539493 W | wal: sync duration of 1.433730669s, expected less than 1s
Dec 16 23:19:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:59.542614 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.262994051s) to execute
Dec 16 23:19:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:59.979741 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.019214454s) to execute
Dec 16 23:19:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:59.979976 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.700271799s) to execute
Dec 16 23:19:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:59.980025 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.673957408s) to execute
Dec 16 23:20:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:01.948388 W | wal: sync duration of 1.971481523s, expected less than 1s
Dec 16 23:20:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:02.094115 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (2.547991893s) to execute
Dec 16 23:20:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:02.094247 W | etcdserver: request "header:<ID:14919139277705048613 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44419739 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (145.491589ms) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.344512 W | wal: sync duration of 1.39594454s, expected less than 1s
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.347686 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.606016219s) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.348042 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd3890b4b5e4\" " with result "range_response_count:1 size:591" took too long (3.043195045s) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.348355 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (3.239863693s) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.348521 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (3.3617655s) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.348583 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (3.361817855s) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.348694 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:0 size:7" took too long (1.250800934s) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.348736 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (3.24186027s) to execute
Dec 16 23:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:03.948703 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (589.610786ms) to execute
Dec 16 23:20:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:05.150925 W | wal: sync duration of 1.206194421s, expected less than 1s
Dec 16 23:20:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:05.154924 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (1.795607229s) to execute
Dec 16 23:20:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:05.156258 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd38e008d8f1\" " with result "range_response_count:1 size:592" took too long (1.795119828s) to execute
Dec 16 23:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:06.648029 W | wal: sync duration of 1.496653127s, expected less than 1s
Dec 16 23:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:06.651854 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (2.44351307s) to execute
Dec 16 23:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:06.651996 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (2.375548086s) to execute
Dec 16 23:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:06.652339 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.293554165s) to execute
Dec 16 23:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:06.652432 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (114.274885ms) to execute
Dec 16 23:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:06.652519 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (2.697604195s) to execute
Dec 16 23:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:06.652864 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.292840414s) to execute
Dec 16 23:20:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:07.677976 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd20085b523d\" " with result "range_response_count:1 size:550" took too long (577.979491ms) to execute
Dec 16 23:20:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:07.678179 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (300.687277ms) to execute
Dec 16 23:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:09.408041 W | wal: sync duration of 1.463897682s, expected less than 1s
Dec 16 23:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:09.411216 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (738.998456ms) to execute
Dec 16 23:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:09.411449 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (1.460696111s) to execute
Dec 16 23:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:09.411494 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (747.234343ms) to execute
Dec 16 23:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:09.411571 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (1.460761377s) to execute
Dec 16 23:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:09.411872 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (749.603131ms) to execute
Dec 16 23:20:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:11.594884 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (733.503856ms) to execute
Dec 16 23:20:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:11.595481 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (172.308555ms) to execute
Dec 16 23:20:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:11.595955 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (173.618132ms) to execute
Dec 16 23:20:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:11.596204 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1436" took too long (613.766287ms) to execute
Dec 16 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:13.363839 W | wal: sync duration of 1.758801503s, expected less than 1s
Dec 16 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:13.369758 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd38e008d8f1\" " with result "range_response_count:1 size:592" took too long (1.734794064s) to execute
Dec 16 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:13.370076 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ltnck\" " with result "range_response_count:1 size:1735" took too long (1.735130642s) to execute
Dec 16 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:13.411795 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (1.591619203s) to execute
Dec 16 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:13.412370 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (815.844991ms) to execute
Dec 16 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:13.412725 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (149.625754ms) to execute
Dec 16 23:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:17.201819 W | wal: sync duration of 1.989842114s, expected less than 1s
Dec 16 23:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:17.202140 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (541.710654ms) to execute
Dec 16 23:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:17.202193 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (1.533912837s) to execute
Dec 16 23:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:17.202516 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.582644516s) to execute
Dec 16 23:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:17.202559 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (1.970933453s) to execute
Dec 16 23:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:20:17.202786 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.825695109s) to execute
