-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 01:38:13 UTC. --
Nov 05 01:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:18.596723 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (383.904867ms) to execute
Nov 05 01:33:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:17.324167 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1911" took too long (259.81862ms) to execute
Nov 05 01:33:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:33.678927 W | etcdserver: failed to revoke 4f0b6e20c7885cbe ("lease not found")
Nov 05 01:33:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:33.679000 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (570.707352ms) to execute
Nov 05 01:33:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:33.679049 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (299.222213ms) to execute
Nov 05 01:33:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:33.679080 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (444.246259ms) to execute
Nov 05 01:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:38.768318 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (625.707486ms) to execute
Nov 05 01:33:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:48.174084 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (143.498432ms) to execute
Nov 05 01:33:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:48.174160 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (476.484537ms) to execute
Nov 05 01:33:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:48.174329 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (468.477469ms) to execute
Nov 05 01:33:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:48.174485 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (164.99729ms) to execute
Nov 05 01:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:34:29.707528 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (528.681175ms) to execute
Nov 05 01:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:34:29.707858 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (548.361605ms) to execute
Nov 05 01:35:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:35:14.764004 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (193.088914ms) to execute
Nov 05 01:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:35:42.277127 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (241.166157ms) to execute
Nov 05 01:35:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:35:59.792663 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (144.405002ms) to execute
Nov 05 01:36:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:03.076657 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (655.856874ms) to execute
Nov 05 01:36:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:03.076897 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (656.714147ms) to execute
Nov 05 01:36:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:03.076965 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (100.094065ms) to execute
Nov 05 01:36:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:03.077227 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (103.762711ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.337462 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (889.719585ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.341376 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (892.557145ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.341918 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (236.186627ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.342236 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (424.580779ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.342557 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (765.237568ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.342866 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lq977\" " with result "range_response_count:1 size:1855" took too long (813.202411ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.659467 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3042" took too long (306.831073ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.666514 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (309.874841ms) to execute
Nov 05 01:36:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:09.666809 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-dxghk.15d4200e5fb10c19\" " with result "range_response_count:1 size:488" took too long (217.451522ms) to execute
Nov 05 01:36:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:36:29.028610 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (533.431526ms) to execute
