-- Logs begin at Tue 2019-11-05 09:07:00 UTC, end at Fri 2019-11-08 05:21:21 UTC. --
Nov 08 04:59:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:28.085471 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (327.863055ms) to execute
Nov 08 05:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:28.594396 W | etcdserver: request "header:<ID:14919139277663461119 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dl8dj.15d51815e31f3f2d\" mod_revision:36958926 > success:<request_put:<key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dl8dj.15d51815e31f3f2d\" value_size:466 lease:5695767240808684788 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dl8dj.15d51815e31f3f2d\" > >>" with result "size:20" took too long (107.374811ms) to execute
Nov 08 05:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:28.594504 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-sidecar-injector-8946597f4-dl8dj\" " with result "range_response_count:1 size:2334" took too long (105.729799ms) to execute
Nov 08 05:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:37.817922 W | etcdserver: request "header:<ID:14919139277663461319 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/openhouse-demo-k8s-node-1.15d50ac333d3bb9e\" mod_revision:36951016 > success:<request_put:<key:\"/registry/events/default/openhouse-demo-k8s-node-1.15d50ac333d3bb9e\" value_size:375 lease:5695767240808684788 >> failure:<request_range:<key:\"/registry/events/default/openhouse-demo-k8s-node-1.15d50ac333d3bb9e\" > >>" with result "size:20" took too long (180.889802ms) to execute
Nov 08 05:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:37.818671 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (182.915169ms) to execute
Nov 08 05:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:38.044770 W | etcdserver: request "header:<ID:14919139277663461344 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-galley-56c4cc5dc6-sd4hk.15d518185612764b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-galley-56c4cc5dc6-sd4hk.15d518185612764b\" value_size:419 lease:5695767240808684788 >> failure:<>>" with result "size:20" took too long (126.055926ms) to execute
Nov 08 05:16:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:16:15.592832 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (147.621767ms) to execute
Nov 08 05:16:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:16:15.592969 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-policy\" " with result "range_response_count:1 size:513" took too long (147.183456ms) to execute
Nov 08 05:16:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:16:15.593139 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (125.85878ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.510684 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (100.197046ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.510737 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (103.091739ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.511070 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (100.086127ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.511223 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (102.609126ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.736678 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (178.775742ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.736766 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (175.559125ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.736800 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (175.58262ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.737013 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (174.342507ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.737180 W | etcdserver: request "header:<ID:14919139277663464203 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-s5zgr\" mod_revision:36959717 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-s5zgr\" value_size:3023 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-s5zgr\" > >>" with result "size:20" took too long (148.895171ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.737361 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (175.237123ms) to execute
Nov 08 05:18:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:34.756363 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1313" took too long (170.533853ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.010261 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1313" took too long (207.315347ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.065168 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (237.802807ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.065459 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (241.224091ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.065993 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (241.662409ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.066703 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (236.199848ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.067897 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (238.678534ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.302174 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (216.81187ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.302751 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (217.378767ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.353351 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (120.924161ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.552974 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/coredns\" " with result "range_response_count:1 size:575" took too long (185.96319ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.553125 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (169.158853ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.592796 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (186.596926ms) to execute
Nov 08 05:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:35.783290 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" " with result "range_response_count:1 size:959" took too long (136.834825ms) to execute
Nov 08 05:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:57.122016 I | mvcc: store.index: compact 36958480
Nov 08 05:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:57.127298 I | mvcc: finished scheduled compaction at 36958480 (took 4.152097ms)
Nov 08 05:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:18:57.482172 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (294.934002ms) to execute
