-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 16:13:29 UTC. --
Dec 16 15:51:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:51:09.465473 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (180.668393ms) to execute
Dec 16 15:57:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:15.107326 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28154" took too long (374.195598ms) to execute
Dec 16 15:57:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:15.107430 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dhrdr.15e0e52258218d58\" " with result "range_response_count:1 size:694" took too long (599.359929ms) to execute
Dec 16 15:57:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:15.396805 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dhrdr.15e0e4bd336aeb29\" " with result "range_response_count:1 size:606" took too long (189.652138ms) to execute
Dec 16 15:57:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:15.735977 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (217.628729ms) to execute
Dec 16 15:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:16.158696 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (113.984936ms) to execute
Dec 16 15:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:16.159024 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-controller-manager-openhouse-demo-k8s-master-1.15d04be1eb55ccec\" " with result "range_response_count:0 size:7" took too long (132.575916ms) to execute
Dec 16 15:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:17.214971 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:3893" took too long (153.428202ms) to execute
Dec 16 15:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:23.315081 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-l57rd.15e0e526786fdb46\" " with result "range_response_count:1 size:591" took too long (544.978312ms) to execute
Dec 16 15:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:23.369351 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (427.155401ms) to execute
Dec 16 15:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:23.369499 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (128.971399ms) to execute
Dec 16 15:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:42.797573 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (113.727517ms) to execute
Dec 16 15:57:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:47.359193 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/node-controller-token-hvht8\" " with result "range_response_count:1 size:2339" took too long (420.133252ms) to execute
Dec 16 15:57:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:51.035039 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/namespace-controller\" " with result "range_response_count:1 size:259" took too long (180.446248ms) to execute
Dec 16 15:58:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:03.055175 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (168.685174ms) to execute
Dec 16 15:58:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:03.055310 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-l57rd.15e0e526786fdb46\" " with result "range_response_count:1 size:591" took too long (285.142645ms) to execute
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.743604 W | wal: sync duration of 1.13175397s, expected less than 1s
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.746998 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-citadel-service-account-token-8qlqq\" " with result "range_response_count:1 size:2447" took too long (1.099078357s) to execute
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.747076 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (344.515156ms) to execute
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.747189 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (688.43597ms) to execute
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.747289 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (871.15277ms) to execute
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.747354 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (962.492703ms) to execute
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.747502 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (473.364309ms) to execute
Dec 16 15:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:04.747590 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (909.44177ms) to execute
Dec 16 15:58:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:43.433398 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (512.814357ms) to execute
Dec 16 15:58:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:43.433480 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-l57rd.15e0e526786fdb46\" " with result "range_response_count:1 size:591" took too long (663.599244ms) to execute
Dec 16 15:58:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:43.433550 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (134.452806ms) to execute
Dec 16 15:58:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:43.434002 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (103.722613ms) to execute
Dec 16 15:58:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:44.271047 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (197.859638ms) to execute
Dec 16 15:58:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:58:44.271202 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (197.866844ms) to execute
Dec 16 15:59:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:03.207318 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (182.689473ms) to execute
Dec 16 15:59:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:03.207460 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (393.661091ms) to execute
Dec 16 15:59:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:15.239657 I | mvcc: store.index: compact 44346416
Dec 16 15:59:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:15.248131 I | mvcc: finished scheduled compaction at 44346416 (took 7.278687ms)
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.751717 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (709.373065ms) to execute
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.751788 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.09722302s) to execute
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.751847 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.07903034s) to execute
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.751925 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2p2l8\" " with result "range_response_count:1 size:4261" took too long (794.462792ms) to execute
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.752055 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (977.341533ms) to execute
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.752140 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (1.23321346s) to execute
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.752366 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.437037534s) to execute
Dec 16 15:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:16.752517 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.101291518s) to execute
Dec 16 15:59:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:59:43.440709 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/zipkins\" range_end:\"/registry/config.istio.io/zipkint\" count_only:true " with result "range_response_count:0 size:7" took too long (310.259771ms) to execute
Dec 16 16:00:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:00:26.079736 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (100.944854ms) to execute
Dec 16 16:00:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:00:26.080497 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (102.107201ms) to execute
Dec 16 16:01:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:02.141262 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (350.210379ms) to execute
Dec 16 16:01:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:02.141785 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (350.74695ms) to execute
Dec 16 16:01:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:02.142047 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/apikeys\" range_end:\"/registry/config.istio.io/apikeyt\" count_only:true " with result "range_response_count:0 size:7" took too long (182.729767ms) to execute
Dec 16 16:01:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:03.658207 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (374.712124ms) to execute
Dec 16 16:01:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:03.658399 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (361.619467ms) to execute
Dec 16 16:01:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:03.658506 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (109.032703ms) to execute
Dec 16 16:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:04.766657 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (492.276199ms) to execute
Dec 16 16:01:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:07.328449 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (314.606818ms) to execute
Dec 16 16:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:26.236203 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (215.968763ms) to execute
Dec 16 16:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:01:26.236431 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (216.016951ms) to execute
Dec 16 16:02:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:02:14.229431 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (222.741136ms) to execute
Dec 16 16:02:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:02:14.264498 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (252.262869ms) to execute
Dec 16 16:02:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:02:32.526778 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (155.345488ms) to execute
Dec 16 16:02:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:02:35.562853 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (327.181381ms) to execute
Dec 16 16:04:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:04:15.253614 I | mvcc: store.index: compact 44347119
Dec 16 16:04:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:04:15.262484 I | mvcc: finished scheduled compaction at 44347119 (took 7.680598ms)
Dec 16 16:09:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:09:15.351663 I | mvcc: store.index: compact 44347756
Dec 16 16:09:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 16:09:15.361172 I | mvcc: finished scheduled compaction at 44347756 (took 7.614234ms)
